,f1: digit 0,f1: digit 1,f1: digit 2,f1: digit 3,f1: digit 4,f1: digit 5,f1: digit 6,f1: digit 7,f1: digit 8,f1: digit 9,overall accuracy
Model 1,0.9873031995937024,0.9938434476693052,0.9797101449275363,0.9772277227722772,0.9826530612244898,0.9809417040358744,0.9885057471264368,0.9790550414028251,0.9769349051768325,0.9705735660847881,0.9818
Model 2,0.9882473173224322,0.990342405618964,0.9821342346692419,0.9814453125,0.9863013698630136,0.9854423292273236,0.9858860428646106,0.9775828460038986,0.9785900783289816,0.979591836734694,0.9836
Model 3,0.9949186991869918,0.9951733216322948,0.9907271839921913,0.9940828402366865,0.9954245043213016,0.9932584269662922,0.9926854754440961,0.9936678032148076,0.9928352098259979,0.99203187250996,0.9935
Model 4,0.9908906882591092,0.9956024626209323,0.9908433734939759,0.9891196834817012,0.9913309535951046,0.9887766554433222,0.9915966386554623,0.9873170731707317,0.9856262833675564,0.9850597609561753,0.9897
